time,trig,echo
-0.000328338,-0.0167751,-0.00879288
-0.000325818,-0.0204544,-0.00879288
-0.000323298,-0.0167751,-0.00879288
-0.000320778,-0.0241336,-0.00507423
-0.000318258,-0.0167751,-0.0125115
-0.000315738,-0.0204544,-0.00135558
-0.000313218,-0.0167751,-0.00507423
-0.000310698,-0.0204544,-0.00879288
-0.000308178,-0.0167751,-0.00879288
-0.000305658,-0.0130959,-0.00507423
-0.000303138,-0.0167751,-0.00879288
-0.000300618,-0.0204544,-0.00507423
-0.000298098,-0.0204544,-0.00879288
-0.000295578,-0.0130959,-0.00507423
-0.000293058,-0.0204544,-0.00507423
-0.000290538,-0.0204544,-0.00135558
-0.000288018,-0.0204544,-0.00879288
-0.000285498,-0.0167751,-0.00879288
-0.000282978,-0.0167751,-0.00879288
-0.000280458,-0.0241336,-0.00135558
-0.000277938,-0.0167751,-0.00507423
-0.000275418,-0.0204544,-0.00135558
-0.000272898,-0.0167751,-0.00879288
-0.000270378,-0.0204544,-0.00507423
-0.000267858,-0.0204544,-0.0125115
-0.000265338,-0.0167751,-0.00507423
-0.000262818,-0.0204544,0.00236307
-0.000260298,-0.0130959,-0.00507423
-0.000257778,-0.0204544,-0.00507423
-0.000255258,-0.0241336,-0.00879288
-0.000252738,-0.0167751,-0.00879288
-0.000250218,-0.0204544,-0.0125115
-0.000247698,-0.0241336,-0.00135558
-0.000245178,-0.0167751,-0.00507423
-0.000242658,-0.0204544,-0.0125115
-0.000240138,-0.0204544,-0.00507423
-0.000237618,-0.0204544,-0.00507423
-0.000235098,-0.0241336,-0.00135558
-0.000232578,-0.0241336,-0.00507423
-0.000230058,-0.0130959,-0.00135558
-0.000227538,-0.0130959,-0.00879288
-0.000225018,-0.0167751,-0.00879288
-0.000222498,-0.0167751,-0.00507423
-0.000219978,-0.0130959,-0.00507423
-0.000217458,-0.0204544,-0.00135558
-0.000214938,-0.0167751,-0.00507423
-0.000212418,-0.0204544,-0.00507423
-0.000209898,-0.0130959,-0.00879288
-0.000207378,-0.0167751,-0.00507423
-0.000204858,-0.0204544,-0.00507423
-0.000202338,-0.0204544,-0.0125115
-0.000199818,-0.0204544,-0.00879288
-0.000197298,-0.0167751,-0.00507423
-0.000194778,-0.0204544,-0.00135558
-0.000192258,-0.0167751,-0.00507423
-0.000189738,-0.0204544,-0.00507423
-0.000187218,-0.0167751,-0.00879288
-0.000184698,-0.0130959,-0.00507423
-0.000182178,-0.0204544,-0.00879288
-0.000179658,-0.0204544,-0.00135558
-0.000177138,-0.0204544,-0.00507423
-0.000174618,-0.0241336,-0.00879288
-0.000172098,-0.0167751,-0.00507423
-0.000169578,-0.0204544,-0.00507423
-0.000167058,-0.0167751,-0.00507423
-0.000164538,-0.0167751,0.00236307
-0.000162018,-0.0204544,-0.00879288
-0.000159498,-0.0241336,-0.00879288
-0.000156978,-0.0130959,-0.00879288
-0.000154458,-0.0167751,-0.00879288
-0.000151938,-0.0167751,-0.00135558
-0.000149418,-0.0204544,-0.00507423
-0.000146898,-0.0130959,-0.00507423
-0.000144378,-0.0204544,-0.00879288
-0.000141858,-0.0130959,-0.00507423
-0.000139338,-0.0167751,-0.00879288
-0.000136818,-0.0167751,-0.0125115
-0.000134298,-0.0204544,-0.00135558
-0.000131778,-0.0204544,-0.00507423
-0.000129258,-0.0241336,-0.0125115
-0.000126738,-0.0241336,-0.00507423
-0.000124218,-0.0204544,-0.00879288
-0.000121698,-0.0204544,0.00236307
-0.000119178,-0.0204544,-0.00135558
-0.000116658,-0.0130959,0.00236307
-0.000114138,-0.0167751,-0.00507423
-0.000111618,-0.0167751,-0.00879288
-0.000109098,-0.0204544,-0.00135558
-0.000106578,-0.0204544,-0.00879288
-0.000104058,-0.0241336,-0.00507423
-0.000101538,-0.0167751,-0.00507423
-9.90176e-05,-0.0167751,-0.00507423
-9.64976e-05,-0.0167751,-0.00135558
-9.39776e-05,-0.0167751,-0.00879288
-9.14576e-05,-0.0167751,-0.00507423
-8.89376e-05,-0.0167751,-0.0125115
-8.64176e-05,-0.0167751,-0.00879288
-8.38976e-05,-0.0130959,-0.00507423
-8.13776e-05,-0.0167751,-0.00879288
-7.88576e-05,-0.0167751,-0.00879288
-7.63376e-05,-0.0167751,-0.00135558
-7.38176e-05,-0.0204544,-0.00879288
-7.12976e-05,-0.0241336,-0.00879288
-6.87776e-05,-0.0278129,-0.00135558
-6.62576e-05,-0.0167751,-0.00879288
-6.37376e-05,-0.0130959,-0.00507423
-6.12176e-05,-0.0204544,-0.00507423
-5.86976e-05,-0.0167751,-0.00879288
