time,echo,trig
-0.00013468,-0.0045224,-0.00745283
-0.0001332,-0.00451822,-0.0076284
-0.00013172,-0.00402204,-0.00695145
-0.00013024,-0.00401368,-0.0071228
-0.00012876,-0.00485737,-0.00796688
-0.00012728,-0.00384411,-0.00779553
-0.0001258,-0.00452658,-0.00813823
-0.00012432,-0.00434865,-0.00796266
-0.00012284,-0.0045224,-0.00746127
-0.00012136,-0.00468779,-0.00711857
-0.00011988,-0.00502694,-0.00728992
-0.0001184,-0.00468362,-0.00695145
-0.00011692,-0.0045224,-0.00728992
-0.00011544,-0.00434447,-0.00745705
-0.00011396,-0.00486154,-0.00745705
-0.00011248,-0.00451404,-0.00745705
-0.000111,-0.00469197,-0.00796688
-0.00010952,-0.00451404,-0.00796688
-0.00010804,-0.00452658,-0.0076284
-0.00010656,-0.00451822,-0.00711857
-0.00010508,-0.00468779,-0.0071228
-0.0001036,-0.00434447,-0.00745705
-0.00010212,-0.00485737,-0.0071228
-0.00010064,-0.00451822,-0.00745705
-9.916e-05,-0.00485737,-0.00746127
-9.768e-05,-0.00502276,-0.00728992
-9.62e-05,-0.00469197,-0.00695145
-9.472e-05,-0.00402204,-0.00695145
-9.324e-05,-0.00502276,-0.0071228
-9.176e-05,-0.00417908,-0.00813401
-9.028e-05,-0.00468779,-0.00711857
-8.88e-05,-0.00434865,-0.0067801
-8.732e-05,-0.00502276,-0.00746127
-8.584e-05,-0.00418743,-0.0076284
-8.436e-05,-0.00485737,-0.0076284
-8.288e-05,-0.00451822,-0.00746127
-8.14e-05,-0.00469197,-0.00678432
-7.992e-05,-0.00485319,-0.00728992
-7.844e-05,-0.00485737,-0.00711857
-7.696e-05,-0.00434865,-0.0076284
-7.548e-05,-0.00485737,-0.00695145
-7.4e-05,-0.00468362,-0.00728992
-7.252e-05,-0.00435701,-0.00728992
-7.104e-05,-0.00451822,-0.00728992
-6.956e-05,-0.00469197,-0.00746127
-6.808e-05,-0.00434865,-0.00746127
-6.66e-05,-0.00435701,-0.00779553
-6.512e-05,-0.00434865,-0.00745705
-6.364e-05,-0.00469197,-0.00711857
-6.216e-05,-0.00418325,-0.0071228
-6.068e-05,-0.00452658,-0.00695567
-5.92e-05,-0.00451822,-0.00728992
-5.772e-05,-0.00485737,-0.0071228
-5.624e-05,-0.00434865,-0.0072857
-5.476e-05,-0.00469197,-0.00695145
-5.328e-05,-0.00451404,-0.00779975
-5.18e-05,-0.00435701,-0.0071228
-5.032e-05,-0.00401786,-0.00695145
-4.884e-05,-0.00452658,-0.00695145
-4.736e-05,-0.00518815,-0.00779553
-4.588e-05,-0.00485737,-0.00695145
-4.44e-05,-0.00502276,-0.00746127
-4.292e-05,-0.00468779,-0.0076284
-4.144e-05,-0.00418325,-0.0076284
-3.996e-05,-0.0045224,-0.00746127
-3.848e-05,-0.00435283,-0.0076284
-3.7e-05,-0.00452658,-0.00779975
-3.552e-05,-0.00484901,-0.00695145
-3.404e-05,-0.00485737,-0.0076284
-3.256e-05,-0.00451822,-0.00813823
-3.108e-05,-0.0045224,-0.00779975
-2.96e-05,-0.00451822,-0.00779553
-2.812e-05,-0.00469197,-0.00745705
-2.664e-05,-0.00417908,-0.00729415
-2.516e-05,-0.00469197,-0.00779975
-2.368e-05,-0.00468362,-0.00762418
-2.22e-05,-0.00502276,-0.0076284
-2.072e-05,-0.00451404,-0.00796688
-1.924e-05,-0.00468779,-0.00779553
-1.776e-05,-0.00451822,-0.00762418
-1.628e-05,-0.00435701,-0.00728992
-1.48e-05,-0.00468362,-0.00779975
-1.332e-05,-0.0045224,-0.0071228
-1.184e-05,-0.00451822,-0.00711857
